ID,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
1,Acura,ILX,Compact,2.40,4,AM8,Z,9.90,7.00,8.60,199.00
2,Acura,MDX SH-AWD,SUV: Small,3.50,6,AS9,Z,12.20,9.00,10.80,252.00
3,Acura,MDX SH-AWD A-SPEC,SUV: Small,3.50,6,AS9,Z,12.20,9.50,11.00,258.00
4,Acura,MDX Hybrid AWD,SUV: Small,3.00,6,AM7,Z,9.10,9.00,9.00,210.00
5,Acura,NSX,Two-seater,3.50,6,AM9,Z,11.10,10.80,11.00,261.00
6,Acura,RDX AWD,SUV: Small,2.00,4,AS10,Z,11.00,8.60,9.90,232.00
7,Acura,RDX AWD A-SPEC,SUV: Small,2.00,4,AS10,Z,11.30,9.10,10.30,242.00
8,Acura,RLX Hybrid,Mid-size,3.50,6,AM7,Z,8.40,8.20,8.40,196.00
9,Acura,TLX,Compact,2.40,4,AM8,Z,10.00,7.10,8.70,205.00
10,Acura,TLX A-SPEC,Compact,2.40,4,AM8,Z,10.20,7.40,8.90,209.00
11,Acura,TLX SH-AWD,Compact,3.50,6,AS9,Z,11.40,7.70,9.80,228.00
12,Acura,TLX SH-AWD A-SPEC,Compact,3.50,6,AS9,Z,12.00,8.20,10.30,240.00
13,Alfa Romeo,4C Coupe,Two-seater,1.80,4,AM6,Z,9.70,6.90,8.40,197.00
14,Alfa Romeo,4C Spider,Two-seater,1.80,4,AM6,Z,9.70,6.90,8.40,197.00
15,Alfa Romeo,Giulia,Mid-size,2.00,4,A8,Z,10.00,7.20,8.70,205.00
16,Alfa Romeo,Giulia AWD,Mid-size,2.00,4,A8,Z,10.50,7.70,9.20,217.00
17,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.90,6,A8,Z,13.80,9.60,11.90,280.00
18,Alfa Romeo,Stelvio,SUV: Small,2.00,4,A8,Z,10.30,8.10,9.30,218.00
19,Alfa Romeo,Stelvio AWD,SUV: Small,2.00,4,A8,Z,10.80,8.30,9.60,226.00
20,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.90,6,A8,Z,14.10,10.40,12.40,292.00
21,Aston Martin,DB11 V8,Minicompact,4.00,8,A8,Z,13.00,9.80,11.50,271.00
22,Aston Martin,DB11 AMR,Minicompact,5.20,12,A8,Z,15.50,10.60,13.30,312.00
23,Aston Martin,DBS Superleggera,Minicompact,5.20,12,A8,Z,16.40,10.70,13.80,324.00
24,Aston Martin,Rapide AMR,Subcompact,6.00,12,A8,Z,16.70,10.90,14.10,332.00
25,Aston Martin,Vanquish Zagato,Minicompact,6.00,12,A8,Z,17.50,11.40,14.70,346.00
26,Aston Martin,Vantage V8,Two-seater,4.00,8,A8,Z,12.70,9.40,11.20,264.00
27,Audi,A3,Subcompact,2.00,4,AM7,X,9.10,6.80,8.10,188.00
28,Audi,A3 quattro,Subcompact,2.00,4,AM7,X,10.90,7.90,9.60,225.00
29,Audi,A3 Cabriolet quattro,Subcompact,2.00,4,AM7,X,10.70,7.90,9.50,221.00
30,Audi,A4,Compact,2.00,4,AM7,Z,8.60,6.90,7.80,182.00
31,Audi,A4 quattro,Compact,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
32,Audi,A4 allroad quattro,Station wagon: Small,2.00,4,AM7,Z,10.70,8.00,9.50,221.00
33,Audi,A5 quattro,Subcompact,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
34,Audi,A5 Cabriolet quattro,Subcompact,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
35,Audi,A5 Sportback quattro,Mid-size,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
36,Audi,A6 quattro,Mid-size,3.00,6,AM7,Z,10.70,8.20,9.60,224.00
37,Audi,A7 quattro,Mid-size,3.00,6,AM7,Z,10.70,8.20,9.60,224.00
38,Audi,A8L,Full-size,3.00,6,AS8,Z,12.50,8.60,10.80,202.00
39,Audi,Q3 quattro,SUV: Small,2.00,4,AS8,X,12.30,8.60,10.60,248.00
40,Audi,Q5,SUV: Small,2.00,4,AM7,Z,10.90,8.70,9.90,230.00
41,Audi,Q7,SUV: Standard,2.00,4,AS8,Z,12.20,9.50,11.00,258.00
42,Audi,Q7,SUV: Standard,3.00,6,AS8,Z,12.60,9.40,11.10,260.00
43,Audi,Q8,SUV: Standard,3.00,6,AS8,Z,14.00,10.70,12.50,294.00
44,Audi,RS 3,Subcompact,2.50,5,AM7,Z,12.40,8.40,10.60,247.00
45,Audi,RS 5 Coupe,Subcompact,2.90,6,AS8,Z,13.30,8.70,11.30,262.00
46,Audi,RS 5 Sportback,Subcompact,2.90,6,AS8,Z,13.50,9.00,11.50,268.00
47,Audi,S3,Subcompact,2.00,4,AM7,Z,10.70,8.00,9.50,222.00
48,Audi,S4,Compact,3.00,6,AS8,Z,11.30,8.00,9.80,230.00
49,Audi,S5,Subcompact,3.00,6,AS8,Z,11.30,8.00,9.80,230.00
50,Audi,S5 Cabriolet,Subcompact,3.00,6,AS8,Z,11.40,8.20,9.90,234.00
51,Audi,S5 Sportback,Mid-size,3.00,6,AS8,Z,11.30,8.00,9.80,230.00
52,Audi,SQ5,SUV: Small,3.00,6,AS8,Z,12.70,10.00,11.50,270.00
53,Audi,TT Coupe quattro,Subcompact,2.00,4,AM7,X,10.30,7.70,9.20,213.00
54,Audi,TT Roadster quattro,Two-seater,2.00,4,AM7,X,10.30,7.70,9.20,213.00
55,Audi,TT RS Coupe,Subcompact,2.50,5,AM7,Z,12.00,8.30,10.30,241.00
56,Audi,TTS Coupe,Subcompact,2.00,4,AM7,Z,10.40,8.20,9.40,220.00
57,Bentley,Bentayga,SUV: Standard,4.00,8,AS8,Z,16.40,10.10,13.60,315.00
58,Bentley,Mulsanne,Mid-size,6.80,8,AS8,Z,24.50,14.40,20.00,465.00
59,BMW,230i xDrive Cabriolet,Subcompact,2.00,4,AS8,Z,10.20,7.20,8.80,207.00
60,BMW,230i xDrive Coupe,Subcompact,2.00,4,AS8,Z,9.90,7.10,8.60,202.00
61,BMW,330i xDrive,Compact,2.00,4,AS8,Z,9.50,6.90,8.30,194.00
62,BMW,330i xDrive Gran Turismo,Full-size,2.00,4,AS8,Z,10.20,7.20,8.80,207.00
63,BMW,330i xDrive Touring,Station wagon: Small,2.00,4,AS8,Z,10.20,7.20,8.80,207.00
64,BMW,430i xDrive Cabriolet,Subcompact,2.00,4,AS8,Z,10.60,7.30,9.10,213.00
65,BMW,430i xDrive Coupe,Compact,2.00,4,AS8,Z,10.20,7.20,8.80,207.00
66,BMW,430i xDrive Gran Coupe,Compact,2.00,4,AS8,Z,10.20,7.20,8.80,207.00
67,BMW,440i Coupe,Compact,3.00,6,AS8,Z,11.20,7.30,9.40,227.00
68,BMW,440i Coupe,Compact,3.00,6,M6,Z,12.80,8.80,11.00,256.00
69,BMW,440i xDrive Cabriolet,Subcompact,3.00,6,AS8,Z,11.80,7.90,10.00,235.00
70,BMW,440i xDrive Coupe,Compact,3.00,6,AS8,Z,11.40,7.60,9.70,228.00
71,BMW,440i xDrive Coupe,Compact,3.00,6,M6,Z,13.00,8.50,11.00,256.00
72,BMW,440i xDrive Gran Coupe,Compact,3.00,6,AS8,Z,11.40,7.60,9.70,228.00
73,BMW,530i xDrive,Mid-size,2.00,4,AS8,Z,10.20,7.20,8.80,207.00
74,BMW,540i xDrive,Mid-size,3.00,6,AS8,Z,11.20,8.10,9.80,231.00
75,BMW,640i xDrive Gran Coupe,Compact,3.00,6,AS8,Z,12.30,8.40,10.50,248.00
76,BMW,640i xDrive Gran Turismo,Full-size,3.00,6,AS8,Z,11.90,8.40,10.30,241.00
77,BMW,650i xDrive Gran Coupe,Compact,4.40,8,AS8,Z,14.00,9.60,12.00,282.00
78,BMW,750i xDrive,Full-size,4.40,8,AS8,Z,13.30,9.20,11.50,269.00
79,BMW,750Li xDrive,Full-size,4.40,8,AS8,Z,14.00,9.60,12.00,282.00
80,BMW,Alpina B6 xDrive Gran Coupe,Compact,4.40,8,AS8,Z,14.00,9.60,12.00,282.00
81,BMW,Alpina B7 xDrive,Full-size,4.40,8,AS8,Z,14.00,9.60,12.00,282.00
82,BMW,M2 Competition,Subcompact,3.00,6,AM7,Z,14.30,10.40,12.60,294.00
83,BMW,M2 Competition,Subcompact,3.00,6,M6,Z,13.40,9.60,11.70,273.00
84,BMW,M240i Cabriolet,Subcompact,3.00,6,AS8,Z,11.20,7.80,9.70,227.00
85,BMW,M240i Cabriolet,Subcompact,3.00,6,M6,Z,12.80,8.80,11.00,256.00
86,BMW,M240i Coupe,Subcompact,3.00,6,AS8,Z,11.20,7.80,9.70,227.00
87,BMW,M240i Coupe,Subcompact,3.00,6,M6,Z,12.80,8.80,11.00,256.00
88,BMW,M240i Coupe M Performance,Subcompact,3.00,6,AS8,Z,11.20,7.80,9.70,227.00
89,BMW,M240i Coupe M Performance,Subcompact,3.00,6,M6,Z,12.80,8.80,11.00,256.00
90,BMW,M240i xDrive Cabriolet,Subcompact,3.00,6,AS8,Z,11.30,8.00,9.80,229.00
91,BMW,M240i xDrive Coupe,Subcompact,3.00,6,AS8,Z,11.30,8.00,9.80,229.00
92,BMW,M240i xDrive Coupe M Performance,Subcompact,3.00,6,AS8,Z,11.30,8.00,9.80,229.00
93,BMW,M4 Cabriolet,Subcompact,3.00,6,AM7,Z,14.50,10.50,12.70,299.00
94,BMW,M4 Cabriolet,Subcompact,3.00,6,M6,Z,13.80,9.40,11.90,280.00
95,BMW,M4 Cabriolet Competition,Subcompact,3.00,6,AM7,Z,14.50,10.50,12.70,299.00
96,BMW,M4 Cabriolet Competition,Subcompact,3.00,6,M6,Z,13.80,9.40,11.90,280.00
97,BMW,M4 Coupe,Compact,3.00,6,AM7,Z,14.30,10.40,12.60,294.00
98,BMW,M4 Coupe,Compact,3.00,6,M6,Z,13.40,9.60,11.70,273.00
99,BMW,M4 Coupe Competition,Compact,3.00,6,AM7,Z,14.30,10.40,12.60,294.00
100,BMW,M4 Coupe Competition,Compact,3.00,6,M6,Z,13.40,9.60,11.70,273.00
101,BMW,M4 CS,Compact,3.00,6,AM7,Z,14.30,10.40,12.60,294.00
102,BMW,M5,Mid-size,4.40,8,AS8,Z,16.00,11.20,13.90,324.00
103,BMW,M5 Competition,Mid-size,4.40,8,AS8,Z,16.00,11.20,13.90,324.00
104,BMW,M550i xDrive,Mid-size,4.40,8,AS8,Z,13.30,9.20,11.50,269.00
105,BMW,M6 Gran Coupe,Compact,4.40,8,AM7,Z,17.30,11.60,14.70,344.00
106,BMW,M760Li xDrive,Full-size,6.60,12,AS8,Z,17.70,11.90,15.10,355.00
107,BMW,M850i xDrive Cabriolet,Subcompact,4.40,8,AS8,Z,13.50,9.20,11.60,270.00
108,BMW,M850i xDrive Coupe,Subcompact,4.40,8,AS8,Z,13.30,9.20,11.50,269.00
109,BMW,X1 xDrive28i,SUV: Small,2.00,4,AS8,Z,10.70,7.50,9.30,217.00
110,BMW,X2 xDrive28i,SUV: Small,2.00,4,AS8,Z,11.00,7.70,9.50,222.00
111,BMW,X3 xDrive30i,SUV: Small,2.00,4,AS8,Z,10.80,8.00,9.60,223.00
112,BMW,X3 M40i,SUV: Small,3.00,6,AS8,Z,11.90,8.70,10.40,245.00
113,BMW,X4 xDrive30i,SUV: Small,2.00,4,AS8,Z,10.80,8.00,9.60,223.00
114,BMW,X4 M40i,SUV: Small,3.00,6,AS8,Z,11.90,8.70,10.40,245.00
115,BMW,X5 xDrive40i,SUV: Standard,3.00,6,AS8,Z,11.70,9.10,10.50,245.00
116,BMW,X5 xDrive50i,SUV: Standard,4.40,8,AS8,Z,15.30,11.10,13.40,314.00
117,BMW,X6 xDrive35i,SUV: Standard,3.00,6,AS8,Z,13.00,9.90,11.60,272.00
118,BMW,X6 xDrive50i,SUV: Standard,4.40,8,AS8,Z,14.30,10.60,12.60,294.00
119,BMW,X6 M,SUV: Standard,4.40,8,AS8,Z,16.60,12.10,14.60,341.00
120,BMW,X7 xDrive40i,SUV: Standard,3.00,6,AS8,Z,12.00,9.40,10.80,254.00
121,BMW,X7 xDrive50i,SUV: Standard,4.40,8,AS8,Z,14.30,10.60,12.60,294.00
122,Bugatti,Chiron,Two-seater,8.00,16,AM7,Z,26.80,16.60,22.20,522.00
123,Buick,Enclave,SUV: Standard,3.60,6,A9,X,13.00,9.10,11.20,263.00
124,Buick,Enclave AWD,SUV: Standard,3.60,6,A9,X,13.80,9.50,11.90,278.00
125,Buick,Encore,SUV: Small,1.40,4,AS6,X,9.40,7.80,8.70,204.00
126,Buick,Encore (SIDI with Stop/Start),SUV: Small,1.40,4,AS6,X,8.90,7.50,8.30,194.00
127,Buick,Encore AWD,SUV: Small,1.40,4,AS6,X,9.90,8.10,9.10,214.00
128,Buick,Encore AWD (SIDI with Stop/Start),SUV: Small,1.40,4,AS6,X,9.40,7.90,8.80,205.00
129,Buick,Envision AWD,SUV: Small,2.00,4,A9,Z,11.70,9.40,10.70,249.00
130,Buick,Envision AWD,SUV: Small,2.50,4,A6,X,11.10,8.60,10.00,234.00
131,Buick,LaCrosse,Mid-size,3.60,6,AS9,X,11.70,7.80,9.90,233.00
132,Buick,LaCrosse eAssist,Mid-size,2.50,4,AS6,X,9.40,6.80,8.20,192.00
133,Buick,LaCrosse AWD,Mid-size,3.60,6,AS9,X,11.70,8.20,10.10,238.00
134,Buick,Regal,Mid-size,2.00,4,AS9,Z,10.60,7.40,9.10,214.00
135,Buick,Regal AWD,Mid-size,2.00,4,AS8,Z,11.00,8.00,9.60,227.00
136,Buick,Regal AWD,Mid-size,3.60,6,AS9,X,12.40,8.70,10.70,251.00
137,Cadillac,CT6 AWD,Full-size,3.00,6,AS10,Z,13.10,9.10,11.30,267.00
138,Cadillac,CT6 AWD,Full-size,3.60,6,AS10,X,13.00,8.80,11.10,261.00
139,Cadillac,CT6 AWD,Full-size,4.20,8,AS10,Z,17.30,9.50,13.80,324.00
140,Cadillac,CTS,Mid-size,2.00,4,AS8,Z,11.00,7.80,9.50,222.00
141,Cadillac,CTS,Mid-size,3.60,6,AS8,X,12.30,8.20,10.50,246.00
142,Cadillac,CTS AWD,Mid-size,2.00,4,AS8,Z,11.40,8.10,9.90,232.00
143,Cadillac,CTS AWD,Mid-size,3.60,6,AS8,X,13.30,9.20,11.50,269.00
144,Cadillac,CTS Vsport,Mid-size,3.60,6,AS8,Z,15.00,9.90,12.70,298.00
145,Cadillac,CTS-V,Mid-size,6.20,8,AS8,Z,17.10,11.00,14.30,337.00
146,Cadillac,Escalade 4WD,SUV: Standard,6.20,8,A10,Z,16.60,10.90,14.00,328.00
147,Cadillac,XT4,SUV: Small,2.00,4,AS9,Z,9.80,7.80,8.90,209.00
148,Cadillac,XT4 AWD,SUV: Small,2.00,4,AS9,Z,10.90,8.20,9.70,227.00
149,Cadillac,XT5,SUV: Small,3.60,6,AS8,X,12.10,8.90,10.60,250.00
150,Cadillac,XT5 AWD,SUV: Small,3.60,6,AS8,X,12.80,9.30,11.20,263.00
151,Cadillac,XTS,Full-size,3.60,6,AS6,X,12.90,8.70,11.00,259.00
152,Cadillac,XTS AWD,Full-size,3.60,6,AS6,X,13.70,9.00,11.60,272.00
153,Cadillac,XTS Vsport AWD,Full-size,3.60,6,AS6,Z,15.00,10.10,12.80,302.00
154,Chevrolet,Blazer,SUV: Small,2.50,4,A9,X,10.80,8.80,9.90,232.00
155,Chevrolet,Blazer,SUV: Small,3.60,6,A9,X,12.00,9.00,10.60,250.00
156,Chevrolet,Blazer AWD,SUV: Small,3.60,6,A9,X,12.70,9.50,11.30,265.00
157,Chevrolet,Camaro,Subcompact,2.00,4,AS8,Z,10.80,7.70,9.40,220.00
158,Chevrolet,Camaro,Subcompact,2.00,4,M6,Z,11.90,7.90,10.10,235.00
159,Chevrolet,Camaro,Subcompact,3.60,6,AS8,X,12.30,8.20,10.40,246.00
160,Chevrolet,Camaro,Subcompact,3.60,6,M6,X,14.30,8.80,11.80,277.00
161,Chevrolet,Camaro SS,Subcompact,6.20,8,AS10,Z,14.50,8.80,12.00,279.00
162,Chevrolet,Camaro SS,Subcompact,6.20,8,M6,Z,14.90,9.90,12.60,297.00
163,Chevrolet,Camaro ZL1,Subcompact,6.20,8,AS10,Z,18.30,11.20,15.10,355.00
164,Chevrolet,Camaro ZL1,Subcompact,6.20,8,M6,Z,17.20,12.00,14.90,349.00
165,Chevrolet,Colorado,Pickup truck: Small,2.50,4,A6,X,12.10,9.20,10.80,253.00
166,Chevrolet,Colorado,Pickup truck: Small,2.50,4,M6,X,11.90,9.20,10.70,251.00
167,Chevrolet,Colorado,Pickup truck: Small,2.80,4,A6,D,11.80,7.90,10.10,270.00
168,Chevrolet,Colorado,Pickup truck: Small,3.60,6,A8,X,13.40,9.60,11.70,274.00
169,Chevrolet,Colorado 4WD,Pickup truck: Small,2.50,4,A6,X,12.70,9.80,11.40,267.00
170,Chevrolet,Colorado 4WD,Pickup truck: Small,2.80,4,A6,D,12.20,8.40,10.50,283.00
171,Chevrolet,Colorado 4WD,Pickup truck: Small,3.60,6,A8,X,14.00,9.90,12.20,286.00
172,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.80,4,A6,D,13.30,10.60,12.10,326.00
173,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.60,6,A8,X,15.00,13.00,14.10,331.00
174,Chevrolet,Corvette,Two-seater,6.20,8,AS8,Z,15.60,9.20,12.70,299.00
175,Chevrolet,Corvette,Two-seater,6.20,8,M7,Z,14.60,9.30,12.20,286.00
176,Chevrolet,Corvette Z06,Two-seater,6.20,8,AS8,Z,17.20,10.10,14.00,331.00
177,Chevrolet,Corvette Z06,Two-seater,6.20,8,M7,Z,15.90,10.60,13.50,318.00
178,Chevrolet,Corvette ZR1,Two-seater,6.20,8,AS8,Z,19.50,12.00,16.10,381.00
179,Chevrolet,Corvette ZR1,Two-seater,6.20,8,M7,Z,18.20,12.50,15.60,368.00
180,Chevrolet,Cruze,Compact,1.40,4,AS6,X,8.30,6.20,7.30,172.00
181,Chevrolet,Cruze Premier,Compact,1.40,4,AS6,X,8.30,6.20,7.30,172.00
182,Chevrolet,Cruze Diesel,Compact,1.60,4,A9,D,7.60,4.90,6.40,172.00
183,Chevrolet,Cruze Hatchback,Mid-size,1.40,4,AS6,X,8.30,6.20,7.30,172.00
184,Chevrolet,Cruze Hatchback Premier,Mid-size,1.40,4,AS6,X,8.50,6.40,7.50,175.00
185,Chevrolet,Cruze Hatchback Diesel,Mid-size,1.60,4,A9,D,7.80,5.20,6.60,178.00
186,Chevrolet,Equinox,SUV: Small,1.50,4,A6,X,9.20,7.30,8.30,196.00
187,Chevrolet,Equinox,SUV: Small,1.60,4,A6,D,8.50,6.00,7.40,199.00
188,Chevrolet,Equinox AWD,SUV: Small,1.50,4,A6,X,9.30,7.80,8.60,207.00
189,Chevrolet,Equinox AWD,SUV: Small,1.60,4,A6,D,8.50,6.10,7.40,199.00
190,Chevrolet,Equinox AWD,SUV: Small,2.00,4,A9,Z,10.90,8.30,9.70,228.00
191,Chevrolet,Impala,Full-size,2.50,4,AS6,X,10.80,8.00,9.60,225.00
192,Chevrolet,Impala,Full-size,3.60,6,AS6,X,12.70,8.50,10.80,254.00
193,Chevrolet,Impala,Full-size,3.60,6,AS6,E,17.20,11.60,14.60,245.00
194,Chevrolet,Malibu,Mid-size,1.50,4,AV,X,8.20,6.60,7.50,174.00
195,Chevrolet,Malibu,Mid-size,2.00,4,A9,Z,10.50,7.40,9.10,214.00
196,Chevrolet,Malibu Hybrid,Mid-size,1.80,4,AV,X,4.80,5.50,5.10,121.00
197,Chevrolet,Silverado,Pickup truck: Standard,2.70,4,A8,X,11.90,10.30,11.10,261.00
198,Chevrolet,Silverado,Pickup truck: Standard,4.30,6,A6,X,15.10,11.50,13.50,316.00
199,Chevrolet,Silverado,Pickup truck: Standard,5.30,8,A6,X,15.90,11.40,13.90,326.00
200,Chevrolet,Silverado FFV,Pickup truck: Standard,5.30,8,A6,X,15.70,11.90,14.00,329.00
201,Chevrolet,Silverado FFV,Pickup truck: Standard,5.30,8,A6,E,21.10,15.00,18.40,306.00
202,Chevrolet,Silverado,Pickup truck: Standard,5.30,8,A8,X,14.10,10.20,12.40,290.00
203,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.70,4,A8,X,12.50,10.80,11.70,275.00
204,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.30,6,A6,X,15.80,11.90,14.00,329.00
205,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,4.30,6,A6,X,16.30,12.90,14.80,347.00
206,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.30,8,A6,X,15.90,11.70,14.00,329.00
207,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.30,8,A6,X,16.10,12.50,14.40,339.00
208,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.30,8,A6,E,22.00,16.10,19.30,322.00
209,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.30,8,A6,X,16.50,13.00,14.90,350.00
210,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.30,8,A8,X,14.90,10.80,13.10,306.00
211,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.30,8,A8,X,15.30,11.80,13.70,320.00
212,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.20,8,A10,Z,15.00,12.00,13.70,321.00
213,Chevrolet,Silverado LD,Pickup truck: Standard,5.30,8,A6,X,15.60,10.90,13.50,317.00
